"theme","yes_positive_pct","no_positive_pct","positive_buffer_gap_pp","yes_negative_pct","no_negative_pct","negative_breaker_gap_pp"
Service / Treatment,23.5,6.1,17.5,35.3,63.6,28.3
Value / Price,0.0,0.0,0.0,5.9,21.2,15.3
Product Options / Accommodation,5.9,3.0,2.9,0.0,9.1,9.1
Distinctiveness,11.8,3.0,8.7,0.0,9.1,9.1
Hospitality / Recognition,0.0,0.0,0.0,0.0,3.0,3.0
Cleanliness / Maintenance,0.0,0.0,0.0,0.0,3.0,3.0
Other / Emerging,0.0,0.0,0.0,5.9,6.1,0.2
Product Quality,29.4,30.3,-0.9,29.4,27.3,-2.1
Speed / Process Friction,0.0,0.0,0.0,23.5,21.2,-2.3
Atmos / Aesthetic,17.6,21.2,-3.6,5.9,3.0,-2.9
Convenience / Access,35.3,9.1,26.2,5.9,3.0,-2.9
Functional Environment,0.0,6.1,-6.1,11.8,3.0,-8.7
Expectation / Reliability,0.0,0.0,0.0,70.6,36.4,-34.2
