"theme","yes_reviews","yes_pct","no_reviews","no_pct","no_minus_yes_gap_pp"
Service / Treatment,15,28.8,24,58.5,29.7
Distinctiveness,2,3.8,7,17.1,13.2
Product Quality,11,21.2,14,34.1,13.0
Value / Price,8,15.4,11,26.8,11.4
Other / Emerging,1,1.9,3,7.3,5.4
Hospitality / Recognition,0,0.0,1,2.4,2.4
Speed / Process Friction,11,21.2,9,22.0,0.8
Cleanliness / Maintenance,3,5.8,2,4.9,-0.9
Atmos / Aesthetic,3,5.8,1,2.4,-3.3
Expectation / Reliability,21,40.4,15,36.6,-3.8
Convenience / Access,6,11.5,2,4.9,-6.7
Product Options / Accommodation,10,19.2,5,12.2,-7.0
Functional Environment,9,17.3,3,7.3,-10.0
