"theme","yes_positive_pct","no_positive_pct","positive_buffer_gap_pp","yes_negative_pct","no_negative_pct","negative_breaker_gap_pp"
Distinctiveness,21.2,2.4,18.7,3.8,17.1,13.2
Atmos / Aesthetic,38.5,22.0,16.5,5.8,2.4,-3.3
Convenience / Access,23.1,7.3,15.8,11.5,4.9,-6.7
Service / Treatment,25.0,9.8,15.2,28.8,58.5,29.7
Functional Environment,17.3,7.3,10.0,17.3,7.3,-10.0
Speed / Process Friction,7.7,0.0,7.7,21.2,22.0,0.8
Product Options / Accommodation,9.6,2.4,7.2,19.2,12.2,-7.0
Cleanliness / Maintenance,3.8,0.0,3.8,5.8,4.9,-0.9
Product Quality,32.7,29.3,3.4,21.2,34.1,13.0
Expectation / Reliability,1.9,0.0,1.9,40.4,36.6,-3.8
Hospitality / Recognition,0.0,0.0,0.0,0.0,2.4,2.4
Other / Emerging,0.0,0.0,0.0,1.9,7.3,5.4
Value / Price,1.9,2.4,-0.5,15.4,26.8,11.4
