"theme","yes_theme_reviews","no_theme_reviews","yes_positive_pct","no_positive_pct","positive_gap_pp","yes_negative_pct","no_negative_pct","negative_gap_pp"
Atmos / Aesthetic,43,12,88.4,83.3,5.1,7.0,8.3,1.3
Cleanliness / Maintenance,7,2,57.1,0.0,57.1,42.9,100.0,57.1
Convenience / Access,28,5,71.4,60.0,11.4,21.4,40.0,18.6
Distinctiveness,28,9,92.9,22.2,70.7,7.1,77.8,70.7
Expectation / Reliability,27,15,22.2,0.0,22.2,77.8,100.0,22.2
Functional Environment,46,10,54.3,30.0,24.3,19.6,30.0,10.4
Hospitality / Recognition,5,1,100.0,0.0,100.0,0.0,100.0,100.0
Other / Emerging,2,3,50.0,0.0,50.0,50.0,100.0,50.0
Product Options / Accommodation,31,7,58.1,28.6,29.5,32.3,71.4,39.1
Product Quality,83,34,59.0,38.2,20.8,13.3,41.2,27.9
Service / Treatment,54,29,61.1,13.8,47.3,27.8,82.8,55.0
Speed / Process Friction,17,9,29.4,0.0,29.4,64.7,100.0,35.3
Value / Price,19,13,47.4,7.7,39.7,42.1,84.6,42.5
